data	hour	depl	vwc	depl_t1	d_rain	irr	etc	Fc	L	vwc2
2021-06-09	00:00:02	1.008	45.365	1.008	0.0	0	0.0	46.373	100.0	45.373
2021-06-09	00:15:06	-0.127	46.5	-0.127	0	0	0.0	46.373	100.0	46.508
2021-06-09	04:30:09	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	04:45:23	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	05:00:37	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	05:15:51	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	05:30:07	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	05:45:18	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	06:00:29	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	06:15:44	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	06:30:04	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	06:45:11	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	07:00:18	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0	46.508
2021-06-09	07:15:24	-0.117	46.49	-0.127	0.0	0	0.033	46.373	100.0	46.498
2021-06-09	07:30:30	-0.117	46.49	-0.117	0.0	0	0.0	46.373	100.0	46.498
2021-06-09	07:45:35	-0.117	46.49	-0.117	0.0	0	0.0	46.373	100.0	46.498
2021-06-09	08:00:39	-0.117	46.49	-0.117	0.0	0	0.0	46.373	100.0	46.498
2021-06-09	08:15:43	-0.094	46.467	-0.117	0.0	0	0.077	46.373	100.0	46.475
2021-06-09	08:30:49	-0.094	46.467	-0.094	0.0	0	0.0	46.373	100.0	46.475
2021-06-09	08:45:57	-0.094	46.467	-0.094	0.0	0	0.0	46.373	100.0	46.475
2021-06-09	09:00:02	-0.094	46.467	-0.094	0.0	0	0.0	46.373	100.0	46.475
2021-06-09	09:15:08	-0.051	46.424	-0.094	0.0	0	0.143	46.373	100.0	46.432
2021-06-09	09:30:13	-0.051	46.424	-0.051	0.0	0	0.0	46.373	100.0	46.432
2021-06-09	09:45:18	-0.051	46.424	-0.051	0.0	0	0.0	46.373	100.0	46.432
2021-06-09	10:00:22	-0.051	46.424	-0.051	0.0	0	0.0	46.373	100.0	46.432
2021-06-09	10:15:27	0.008	46.365	-0.051	0.0	0	0.197	46.373	100.0	46.373
2021-06-09	10:30:32	0.008	46.365	0.008	0.0	0	0.0	46.373	100.0	46.373
